year,quarter,region,area,sex,age_group,value,unit,source
2556,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,นอกเขตเทศบาล,หญิง,รวม,0.60,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 4,ภาคตะวันออกเฉียงเหนือ,ในเขตเทศบาล,หญิง,รวม,0.90,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 3,ภาคเหนือ,ในเขตเทศบาล,หญิง,15-19 ปี,2.70,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 2,ภาคกลาง,ในเขตเทศบาล,หญิง,20-24 ปี,5.90,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 1,ทั่วประเทศ,ในเขตเทศบาล,หญิง,25-29 ปี,1.20,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 3,ภาคใต้,รวม,หญิง,25-29 ปี,2.80,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,ในเขตเทศบาล,หญิง,30-34 ปี,0.50,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 1,ภาคเหนือ,นอกเขตเทศบาล,หญิง,35-39 ปี,0.30,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 1,ทั่วประเทศ,ในเขตเทศบาล,หญิง,40-49 ปี,0.20,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 3,ภาคใต้,นอกเขตเทศบาล,หญิง,40-49 ปี,0.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
2556,ไตรมาสที่ 4,ทั่วประเทศ,รวม,หญิง,50-59 ปี,0.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 1,ภาคเหนือ,ในเขตเทศบาล,รวม,รวม,0.70,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 1,ภาคเหนือ,ในเขตเทศบาล,รวม,25-29 ปี,2.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 1,ภาคใต้,นอกเขตเทศบาล,รวม,40-49 ปี,0.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 1,ทั่วประเทศ,รวม,ชาย,20-24 ปี,4.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 1,กรุงเทพมหานคร,ในเขตเทศบาล,ชาย,35-39 ปี,0.30,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 1,ภาคกลาง,รวม,หญิง,รวม,0.70,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 1,ทั่วประเทศ,นอกเขตเทศบาล,หญิง,25-29 ปี,1.20,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 1,ภาคกลาง,รวม,หญิง,40-49 ปี,0.20,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 3,ภาคเหนือ,รวม,รวม,รวม,0.70,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 3,ภาคกลาง,ในเขตเทศบาล,รวม,15-19 ปี,5.70,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 3,ทั่วประเทศ,นอกเขตเทศบาล,รวม,20-24 ปี,4.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,นอกเขตเทศบาล,รวม,25-29 ปี,1.70,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 2,ภาคเหนือ,ในเขตเทศบาล,รวม,30-34 ปี,1.20,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 2,ทั่วประเทศ,ในเขตเทศบาล,รวม,35-39 ปี,0.40,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 4,ภาคใต้,นอกเขตเทศบาล,รวม,35-39 ปี,0.40,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 4,ภาคเหนือ,นอกเขตเทศบาล,รวม,40-49 ปี,0.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 4,ภาคเหนือ,ในเขตเทศบาล,รวม,50-59 ปี,0.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 2,ภาคกลาง,ในเขตเทศบาล,ชาย,รวม,1.50,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 2,ภาคกลาง,รวม,ชาย,15-19 ปี,6.60,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 2,ทั่วประเทศ,นอกเขตเทศบาล,ชาย,20-24 ปี,2.60,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 4,ภาคใต้,นอกเขตเทศบาล,ชาย,20-24 ปี,2.60,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 4,ภาคตะวันออกเฉียงเหนือ,ในเขตเทศบาล,ชาย,25-29 ปี,2.50,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 4,ภาคกลาง,ในเขตเทศบาล,ชาย,30-34 ปี,1.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 3,ภาคใต้,นอกเขตเทศบาล,ชาย,35-39 ปี,0.40,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 3,ภาคตะวันออกเฉียงเหนือ,รวม,ชาย,40-49 ปี,0.20,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 4,ภาคกลาง,รวม,ชาย,50-59 ปี,0.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 4,ภาคตะวันออกเฉียงเหนือ,รวม,ชาย,60 ขึ้นไป,0.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 4,ภาคใต้,รวม,หญิง,รวม,0.90,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 4,ภาคตะวันออกเฉียงเหนือ,รวม,หญิง,15-19 ปี,4.20,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 4,ภาคกลาง,นอกเขตเทศบาล,หญิง,20-24 ปี,2.20,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 4,ทั่วประเทศ,ในเขตเทศบาล,หญิง,25-29 ปี,0.60,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 3,ภาคใต้,นอกเขตเทศบาล,หญิง,30-34 ปี,0.60,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 4,ทั่วประเทศ,รวม,หญิง,35-39 ปี,0.20,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 4,ทั่วประเทศ,รวม,หญิง,40-49 ปี,0.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
2557,ไตรมาสที่ 4,ภาคกลาง,นอกเขตเทศบาล,หญิง,50-59 ปี,0.20,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,ทั่วประเทศ,ในเขตเทศบาล,รวม,รวม,1.00,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 1,ทั่วประเทศ,รวม,รวม,15-19 ปี,5.20,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 3,ภาคใต้,รวม,รวม,15-19 ปี,4.80,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,รวม,รวม,20-24 ปี,5.80,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 1,ภาคเหนือ,รวม,รวม,25-29 ปี,1.60,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 4,ภาคกลาง,รวม,รวม,25-29 ปี,1.20,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 3,ทั่วประเทศ,นอกเขตเทศบาล,รวม,30-34 ปี,0.60,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 1,ภาคใต้,นอกเขตเทศบาล,รวม,35-39 ปี,0.30,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 4,ภาคตะวันออกเฉียงเหนือ,นอกเขตเทศบาล,รวม,35-39 ปี,0.30,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 3,ภาคเหนือ,นอกเขตเทศบาล,รวม,40-49 ปี,0.30,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,ภาคเหนือ,ในเขตเทศบาล,รวม,50-59 ปี,0.20,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 1,ภาคใต้,รวม,รวม,60 ขึ้นไป,0.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,ทั่วประเทศ,ในเขตเทศบาล,ชาย,รวม,0.90,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 1,ทั่วประเทศ,รวม,ชาย,15-19 ปี,4.40,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 3,ภาคใต้,รวม,ชาย,15-19 ปี,4.30,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,รวม,ชาย,20-24 ปี,4.20,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 1,ภาคเหนือ,รวม,ชาย,25-29 ปี,1.60,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 4,ภาคกลาง,รวม,ชาย,25-29 ปี,1.30,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 3,ภาคกลาง,รวม,ชาย,30-34 ปี,0.60,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,ภาคเหนือ,ในเขตเทศบาล,ชาย,35-39 ปี,0.70,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 1,ภาคกลาง,นอกเขตเทศบาล,ชาย,40-49 ปี,0.50,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 4,ภาคกลาง,รวม,ชาย,40-49 ปี,0.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 4,กรุงเทพมหานคร,ในเขตเทศบาล,ชาย,50-59 ปี,0.20,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 1,ภาคเหนือ,ในเขตเทศบาล,หญิง,รวม,0.90,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 4,ภาคเหนือ,รวม,หญิง,รวม,0.50,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 3,ภาคกลาง,นอกเขตเทศบาล,หญิง,15-19 ปี,4.00,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,ภาคกลาง,นอกเขตเทศบาล,หญิง,20-24 ปี,3.90,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 1,ทั่วประเทศ,นอกเขตเทศบาล,หญิง,25-29 ปี,1.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 3,ภาคใต้,ในเขตเทศบาล,หญิง,25-29 ปี,3.00,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,รวม,หญิง,30-34 ปี,1.40,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 1,ภาคกลาง,นอกเขตเทศบาล,หญิง,35-39 ปี,0.20,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 4,ภาคใต้,ในเขตเทศบาล,หญิง,35-39 ปี,0.20,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 4,ภาคใต้,นอกเขตเทศบาล,หญิง,35-39 ปี,1.30,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 1,ทั่วประเทศ,รวม,หญิง,40-49 ปี,0.20,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 1,ทั่วประเทศ,ในเขตเทศบาล,หญิง,40-49 ปี,0.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 1,ทั่วประเทศ,นอกเขตเทศบาล,หญิง,40-49 ปี,0.40,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 1,ภาคกลาง,รวม,หญิง,40-49 ปี,0.20,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 1,ภาคกลาง,นอกเขตเทศบาล,หญิง,40-49 ปี,0.40,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 1,ภาคเหนือ,รวม,หญิง,40-49 ปี,0.20,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 1,ภาคเหนือ,ในเขตเทศบาล,หญิง,40-49 ปี,0.40,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 1,ภาคเหนือ,นอกเขตเทศบาล,หญิง,40-49 ปี,0.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,รวม,หญิง,40-49 ปี,0.30,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,ในเขตเทศบาล,หญิง,40-49 ปี,0.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,นอกเขตเทศบาล,หญิง,40-49 ปี,0.30,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 1,ภาคใต้,รวม,หญิง,40-49 ปี,0.40,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 1,ภาคใต้,ในเขตเทศบาล,หญิง,40-49 ปี,0.20,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 1,ภาคใต้,นอกเขตเทศบาล,หญิง,40-49 ปี,0.60,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,ทั่วประเทศ,รวม,หญิง,40-49 ปี,0.20,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,ทั่วประเทศ,ในเขตเทศบาล,หญิง,40-49 ปี,0.30,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,ทั่วประเทศ,นอกเขตเทศบาล,หญิง,40-49 ปี,0.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,กรุงเทพมหานคร,ในเขตเทศบาล,หญิง,40-49 ปี,0.40,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,ภาคกลาง,รวม,หญิง,40-49 ปี,0.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,ภาคกลาง,ในเขตเทศบาล,หญิง,40-49 ปี,0.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,ภาคกลาง,นอกเขตเทศบาล,หญิง,40-49 ปี,0.20,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,ภาคเหนือ,รวม,หญิง,40-49 ปี,0.30,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,ภาคเหนือ,ในเขตเทศบาล,หญิง,40-49 ปี,0.60,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,ภาคเหนือ,นอกเขตเทศบาล,หญิง,40-49 ปี,0.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,รวม,หญิง,40-49 ปี,0.20,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,ในเขตเทศบาล,หญิง,40-49 ปี,0.20,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,นอกเขตเทศบาล,หญิง,40-49 ปี,0.20,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,ภาคใต้,รวม,หญิง,40-49 ปี,0.40,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,ภาคใต้,ในเขตเทศบาล,หญิง,40-49 ปี,0.80,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,ภาคใต้,นอกเขตเทศบาล,หญิง,40-49 ปี,0.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 3,ทั่วประเทศ,ในเขตเทศบาล,หญิง,40-49 ปี,0.20,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 3,กรุงเทพมหานคร,ในเขตเทศบาล,หญิง,40-49 ปี,0.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 1,ภาคเหนือ,รวม,หญิง,35-39 ปี,0.40,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 1,ภาคเหนือ,ในเขตเทศบาล,หญิง,35-39 ปี,0.70,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 1,ภาคเหนือ,นอกเขตเทศบาล,หญิง,35-39 ปี,0.20,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,รวม,หญิง,35-39 ปี,0.40,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 1,ภาคตะวันออกเฉียงเหนือ,ในเขตเทศบาล,หญิง,35-39 ปี,0.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 1,ภาคใต้,รวม,หญิง,35-39 ปี,0.20,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 1,ภาคใต้,ในเขตเทศบาล,หญิง,35-39 ปี,0.20,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 1,ภาคใต้,นอกเขตเทศบาล,หญิง,35-39 ปี,0.20,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,ทั่วประเทศ,นอกเขตเทศบาล,หญิง,35-39 ปี,0.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,ภาคกลาง,รวม,หญิง,35-39 ปี,0.20,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,ภาคกลาง,ในเขตเทศบาล,หญิง,35-39 ปี,0.30,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,ภาคกลาง,นอกเขตเทศบาล,หญิง,35-39 ปี,0.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,ภาคเหนือ,รวม,หญิง,35-39 ปี,0.70,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,ภาคเหนือ,ในเขตเทศบาล,หญิง,35-39 ปี,1.50,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,ภาคเหนือ,นอกเขตเทศบาล,หญิง,35-39 ปี,0.30,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,รวม,หญิง,35-39 ปี,0.20,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,ภาคตะวันออกเฉียงเหนือ,ในเขตเทศบาล,หญิง,35-39 ปี,0.30,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,ภาคใต้,รวม,หญิง,35-39 ปี,0.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 2,ภาคใต้,ในเขตเทศบาล,หญิง,35-39 ปี,0.30,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 3,ทั่วประเทศ,รวม,หญิง,35-39 ปี,0.30,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 3,ทั่วประเทศ,ในเขตเทศบาล,หญิง,35-39 ปี,0.30,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 3,ทั่วประเทศ,นอกเขตเทศบาล,หญิง,35-39 ปี,0.30,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 3,กรุงเทพมหานคร,ในเขตเทศบาล,หญิง,35-39 ปี,0.20,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 3,ภาคกลาง,รวม,หญิง,35-39 ปี,0.30,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 3,ภาคกลาง,ในเขตเทศบาล,หญิง,35-39 ปี,0.30,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 3,ภาคกลาง,นอกเขตเทศบาล,หญิง,35-39 ปี,0.40,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 3,ภาคเหนือ,รวม,หญิง,35-39 ปี,0.20,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 3,ภาคเหนือ,ในเขตเทศบาล,หญิง,35-39 ปี,0.20,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 3,ภาคเหนือ,นอกเขตเทศบาล,หญิง,35-39 ปี,0.30,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 3,ภาคตะวันออกเฉียงเหนือ,รวม,หญิง,35-39 ปี,0.10,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 3,ภาคตะวันออกเฉียงเหนือ,ในเขตเทศบาล,หญิง,35-39 ปี,0.30,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 3,ภาคใต้,รวม,หญิง,35-39 ปี,0.80,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 3,ภาคใต้,ในเขตเทศบาล,หญิง,35-39 ปี,1.00,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 3,ภาคใต้,นอกเขตเทศบาล,หญิง,35-39 ปี,0.60,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 4,ทั่วประเทศ,รวม,หญิง,35-39 ปี,0.50,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 4,ทั่วประเทศ,ในเขตเทศบาล,หญิง,35-39 ปี,0.70,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 4,ทั่วประเทศ,นอกเขตเทศบาล,หญิง,35-39 ปี,0.40,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 4,กรุงเทพมหานคร,ในเขตเทศบาล,หญิง,35-39 ปี,1.50,ร้อยละ,สำนักงานสถิติแห่งชาติ
2558,ไตรมาสที่ 4,ภาคกลาง,ในเขตเทศบาล,หญิง,35-39 ปี,0.40,ร้อยละ,สำนักงานสถิติแห่งชาติ
